country,emb_0,emb_1,emb_2,emb_3
DO,-0.6001196957222739,-0.2461806518643281,0.010158645777744089,-0.5743399994970578
DZ,-0.5892149815369422,-0.3843678303433962,-0.5108370895753219,-0.5767082028204159
EC,-0.3985897316836941,-0.43508709151429764,-0.5816831400318495,-0.3016447336963597
EE,-1.5983987055206206,-0.44835032874050373,-0.031422545751779156,0.33743615772475455
EG,0.44628328617857715,-0.3541040995795051,-0.6803509523335624,0.2412434327057361
ES,-2.012618576204796,-0.37397924796866977,0.11662432221098135,0.1502065805956557
ET,4.083865192388214,0.6840163606253488,0.34031626198337267,0.26093306619054846
EU,-1.826489793546082,-0.3077055359883436,0.3624083247162918,0.37885518165231064
F1,2.505014182167836,0.3645469886414999,0.5186461737992956,-0.20314864706631333
FI,-2.5839203024709225,-0.5204014229325119,-0.1399024200078463,0.8753923375935536
FJ,0.15548124871544738,-0.3259226422378708,-0.5858173648757085,-0.19363839554000703
FM,1.8714583479261158,-0.08465872048311507,-1.1070603528132736,0.6700778621956832
FO,-0.3343825877176406,0.010358838963763769,0.41922526603709453,1.6327356333025727
FR,-1.8779132308933437,-0.25439219140355446,0.5335362804985346,0.2446668075647763
GA,-0.4880601314023386,-0.13306113585186957,0.6335225003675397,-1.199437688646593
GB,-2.2564656413291835,-0.25864788982428083,0.33101367713991325,0.21358844713429176
GD,-0.11647069657260965,-0.45146532449206545,-1.0853261384528943,0.8360083845901939
GE,-0.6325592750439025,-0.5101205467159292,-0.7742351134379228,0.03864176180539726
GH,1.222924228507375,0.04021422582278882,-0.19927281262140084,-0.4952087329491939
GL,-1.2473889468038386,0.24206863178012014,1.3378252832900954,-0.03408343174394023
GM,1.0333524430604635,0.16308923000458145,-0.331250560552579,-0.4233379209472833
GN,2.275809988200461,0.25423392247827936,-0.1106337111812901,0.4111459916431494
GQ,-0.21987180548812682,-0.1469480670034062,0.4458932502760537,-0.15352714598238318
GR,-1.418381956608677,-0.3679992919278414,0.026095087507406165,-0.2346192287369298
GT,0.7602305726556152,-0.15310924433793774,-0.06730674004714127,-0.39366400129972445
GW,3.0041672268310893,0.6708995205581675,0.23942646920376345,-0.01340888677257786
GY,1.0787347460552208,-0.27009989698719833,-0.8325049353534122,0.8763118289422305
HK,-3.15142987390265,3.4099302461269043,0.02635001153718858,-0.09856899595783138
HN,0.950010455821507,-0.1503530227560306,-0.13229612702080934,-0.5843198195126018
HR,-1.0515736283748434,-0.4828747210041055,-0.34360433939560153,0.5632835510533578
HT,1.6679380752958253,0.3804456095450885,0.044924688269217104,-0.07842735117628939
HU,-1.30726499390884,-0.36518321909350904,-0.009897517526024604,0.10021872996513102
ID,0.09617632890882036,-0.3120736372582808,-0.7183743619681611,-0.17058576644352277
IE,-2.9102207417746366,-0.18200654787208634,1.0298085382785611,2.099230381717925
IL,-1.916078385603017,-0.07573803567940679,0.6018545605750205,-0.4378313135170293
IN,1.1245421323796612,-0.0888897337816631,-0.9668176527307909,0.3091690786701002
IQ,-0.6563701799724047,-0.4559257724480819,-0.37840543954680284,-0.5157616879455009
IR,-0.345905316546546,-0.27208611375588415,-0.14439020679992076,-0.8025090890106298
IS,-2.4146429444671216,-0.1560813470783853,0.966799944709761,0.019317206467887746
IT,-1.588006389503431,-0.25806586421412575,0.3144129583752458,0.4591065881737444
JM,-0.08209902698117774,-0.35708317475638784,-0.631271213223603,-0.21186456910097073
JO,-0.9472534560330219,-0.3561111507437171,-0.11211998695792218,-1.3834181617947392
JP,-1.980490355714474,-0.12802592291889464,0.5803422556095088,-0.40825035334000764
KE,2.0117556152319476,0.06380873398610964,-0.4056670886300195,0.4384320622587433
KG,0.581228743119234,-0.5311404178286975,-1.2294038803572291,0.3744868276112948
KH,1.8612525337231747,-0.006197613903667913,-0.23075000039291732,0.02477186670872776
KI,1.1939443722187324,0.021216058919667487,-0.7098866920908097,-0.6236337861592944
KM,2.6770152945895385,0.4232022682803468,-0.5581134183750563,-0.0719833929584547
