iso3,emb_0,emb_1,emb_2
US,-2.1347904456735867,-0.16767967942800605,1.0661030807758862
UY,-1.755202732511879,-0.33703292195523765,0.09587305624745573
UZ,0.7847661924990894,-0.17185027031851774,-0.9249878248522181
V1,2.656686089626506,0.3901958912012997,0.660919805313627
V2,0.6705292925502463,-0.2842601693991858,-0.5206612651597888
V3,-0.5349225945881454,-0.40633332367258196,-0.33140492963709384
V4,-1.9952038493357875,-0.28274349123543574,0.6370289134997866
VC,-0.7623155689186337,-0.5805955596863532,-1.3230213749558184
VI,-1.5430715215798976,0.05649990301634918,0.8416991311560644
VN,0.4832513151308073,-0.3486837378327421,-1.1650466900308425
VU,2.4841545897906236,0.07124763863676248,-0.39587977474955716
WS,0.8134149018267134,-0.6183320475083971,-1.4447294782593294
XC,-1.9339515519444483,-0.2744073879859247,0.46691036553144044
XD,-1.9368983909825994,-0.2926176777490722,0.6056286466425742
XE,3.0170689647257065,0.4188465127532632,0.561888366640791
XF,-0.07390927577228781,-0.3889629618299703,-0.48036516026492676
XG,2.449833870704152,0.24612476327975719,0.21379653039010102
XH,2.159838286289001,0.2550105798911459,0.17876000976633988
XI,2.571205489717194,0.2358102473627408,0.22798395094534576
XJ,-0.9218753661008496,-0.3970414380654969,-0.15631261571148622
XK,0.09819172687275018,-0.5203371748102815,-0.9108621979825826
XL,2.725525265464623,0.290559805297429,0.3229419535001819
XM,3.2595773978285343,0.5096113234954678,0.6434867103699616
XN,1.3558924092718845,-0.10090124656774531,-0.4891760888733746
XO,0.5625308435620774,-0.25123137537496926,-0.2806097077265965
XP,0.33691971546226546,-0.30325956350258293,-0.39358657929410473
XQ,0.2943645241864687,-0.36578174023656335,-0.7306178109839178
XT,-0.538558774842088,-0.3974577921116373,-0.37311455131255755
XU,-2.12994281219211,-0.18651100652223557,1.026807659497992
Z4,-0.4261323251495949,-0.3874021013163256,-0.330094335274095
Z7,-1.541692439844959,-0.3911010575172244,0.16581928806532056
ZA,-0.6042782443867527,-0.48214240424092764,-0.4393124227111345
ZF,2.4892986891603615,0.3399689413392623,0.6732342771027765
ZG,2.581732971383217,0.3465080674345606,0.6237679379550164
ZH,2.5405525714483765,0.25027004025124183,0.5669276802102431
ZI,2.568448235729934,0.45607474263629255,0.7056352820833552
ZJ,-0.903442401727655,-0.3714569835222933,-0.12531728587020569
ZM,1.138086548865849,-0.14594809553621016,0.020147849425382506
ZQ,0.41418954029088595,-0.2973568939946041,-0.11896176180094344
ZT,0.5270809650781121,-0.2569699178327702,-0.253074611327165
ZW,1.6958840646544753,0.017776654112948136,-0.15804448727739417
CU,-1.043768691993786,-0.4646808398673084,-0.34652921583876656
IM,-0.5219442657552924,-0.5700404688365819,-0.6661231721731184
JG,-0.18484814709478747,-0.3071567676433363,-1.1413753034377554
LI,-0.3087957758342533,-0.8445226022534542,-1.7902264388856133
NC,-0.7244153049898622,-0.5332795016371947,-0.367083243609396
PF,-0.5800000367954611,-0.5067258203609274,-0.4767475547550243
SS,3.7511094085814447,0.6783974888123518,1.782899334286722
YE,2.4359752051210988,0.3290706909031309,0.2896427849172213
AS,-0.7788375654607014,-0.21900790696479,-0.09418422661525178
ER,1.8763983106165392,0.11707368742978502,0.705125147062899
GI,-1.6762189088537969,1.4276842983607856,-0.6301077118182328
GU,-1.006013558814572,-0.14947241732720357,0.08115372592389006
KP,0.5032332808715565,0.11624445935422668,0.46602588899637093
MC,-3.69141897777371,8.827385410735069,-3.9664916280385683
MF,-1.149577433787333,0.07025926445168243,0.12407048540926177
MP,-0.9425432671563617,-0.2611435841098587,0.06956515474625038
VE,-0.8654755798075,-0.3025025014454507,0.05662950011937358
VG,-0.028096246163607654,-0.33687651522733997,-0.542048724227337
